Number,Rating,Review
204,Poor,"The staff members were friendly and there was more leg space than other lower budget airlines. However, the company itself is not very customer friendly. For us we were unable to pay for food and drinks with our bank card."
205,Poor,I took a flight from Italy to Romania and they forced me to pay 60 euros more because my backpack was 5 cm larger than allowed... I understand business is business but this is also a mockery.... would never fly with ryanair ever again
206,Poor,Exhausting flight delayed an hour and a half but put more time on that we are currently standing on a stairs with no information no movement just stuck on a stairs at 11pm waiting. Excruciating...why not leave us sitting if we are just going to be left on a stairway?? Never again
207,Poor,"Priority boarding is a myth, in Luxembourg airport at least. OK, they sort the passengers into priority and non-. The priority passengers have priority into the gate lounge, then the non-priority get into the gate lounge. Then they all get mixed up and you take your chances for…"
208,Poor,I go on ryanair allot but I have to say it is outrageous how unsanitary the plane is and my flight was on 6.30 and it got delayed to nine.their flights are always delayed.
209,Poor,"Only flew with Ryanair on maybe 3 occasions, and every time the flight has been delayed, after there huge profit so far this year, they could at least deliver a spot on service."
210,Poor,"The flight was late and the plane was incredibly untidy (a previous passenger's crisps adorned the floor). On a brighter note, the crew were pleasant enough and the flight was cheap. It would have been nice to not sit in someone else's food though."
211,Poor,Not good airline. The seats are dirty not cleaned. Had to pay over £100 for 10 kg over. Seats are stiff and has no recline or padding. I am absolutely disgusted with this. The only thing that I am pleased with is that the crew are friendly and caring .
212,Poor,"Ryanair almost always starts off late the flight without any reimbursement of course. Their rules are always strict for the client (baggage kilos, late check-in etc) but never for themselves."
213,Poor,Only good thing about Ryanair is that its cheap and the app is user friendly. That is it! I have been flying frequently from Malmo to Zagreb and back. I have expirienced delays 70% of the time. Last flight was overbooked and delayed without notice. Good luck flying Ryanair :)
214,Poor,"Awful service, 2 hour delay and then they preboard and leave you in the jet way for another 30 minutes. They done care as long as they get your money, no apologies nothing."
215,Poor,"Average flight, customer service agent refused to print a pass for me, seemed annoyed to even be asked to do so. He said it was company policy to not to, but after further discussion finally printed one for me. It seems minor but it just came off as can't be bothered to help a customer."
216,Poor,"I went on Ryanair for a holiday, the way there was alright the way back was shocking, Rude staff, not clean, Hard landings. Angry people, horrid, Do NOT fly with this airline"
217,Poor,"Lower fares but planes alwatslaye arriving and departing. Staff average, onboard services average. Disorganised, amateur not very professional."
218,Poor,"We planned a day trip to Santorini. The idea was to maximize the time by flying to the Island in the early morning and depart by the last flight. In both cases, our flights were delayed leading to longer waits at the airport and rescheduling the activities."
219,Poor,"Smallest, cheapest, most uncomfortable flight I ever had. If you are bigger then the average Ethiopian child, you will have a terrible flight for comfort"
220,Poor,"Unhygenic, insects, litter, late flight, long queues waiting on stairs etc, charge extra money for everything, lots of advertising and selling on board"
221,Poor,They made sure if you don't pay for your seat they will make sure they will spilt the family. Otherwise seats are old
222,Poor,We received a message at 6:30 in the evening that we have to get to a city 3.5 hours away for our morning flight back home. We paid 850€ for a taxi and now we really hope to get our money back. Its really funny that they think all Ryanair customers have this much money on their account to spend on a freaking taxi.
223,Poor,"While boarding, the ticket & passport checker guy looked at my passport and asked how old i was, that was ofc acceptable but then after i replied that i was 23, he gave me my passport back and then unnecceseraly commented that i look much younger than 23. Ok, rude????"
224,Poor,Ryanair does not have direct personnel at the Shannon Airport and the people at the checkin counter are limited on their capacity to solve problems and terrified of making decisions.
225,Poor,Feel like I’ve been ripped off for The get go! So sone my booking as last min deal in morning in my phone as had to ring up so so I did that in afternoon as booked hotel then to be told in evening they upped my flights by extra £200 then I had to pay extra £26 just to be seated…
226,Poor,"Ryanair check passengers in and hold them on steps, overcrowded and no seats bad air. Or put them on warm or freezing tarmac. This is done more and more. Regulators should stop the practice"
227,Poor,"The boarding was the the most worse ever, nobody took in account if we had priority or not , people with no priority went in front, and very rood personnel at the boarding gate."
228,Poor,"Poor customer service. If you have a problem, get ready to be played with or chat with a useless bot."
229,Poor,Poor customer service and secretly hidden extra price and cause horrible issues and awfully horrible landings and is the worst airline in the world.
230,Poor,Price of ticket 53 euros. Price for checking in at the counter and not online 62 euros :(. No other comment necessary. Be aware.
231,Poor,The most crap company. Always delayed. Doesn’t matter season or not. They never on time. And never advise you before
232,Poor,"it was terrible!! He kept us on the stairs after checking our tickets for 30 minutes, then on the plane for another hour!! dirt on the floor! very ugly Last time with RyanAir"
233,Poor,"The ryanair planes ALWAYS late. The vienna-rhodes flight was standing about 1,5 hour and late 2hour. Now the rhodes-vienna plane is doing the same."
234,Poor,"Had appr. 20 flights from and to stansted-eindhoven, only 4 have been on time. For me Ryanair is not a reliable airline."
235,Poor,Filthy! Seat had hairs all over it and there were sticky sweets left on the floor and between the seats. The tray was sticky where a drink had been spilt and had run down the seat in front. The window was dirty with mucky finger prints. My luggage bag was dirty after having to stow it under the seat.
236,Poor,"Not only 1 1/2 hours late, but the barrage of shouty announcements throughout the flight made the whole experience unnecessarily unpleasant. Cheap (ish) but not cheerful."
237,Poor,"Simply terrible. Late, couldnt care less attitude by cabin crew, shouting match with ground crew, checkin was a disgrace. I dont understand how they can stay in business."
238,Poor,"They don t care about people, they put you in a full bus waiting in front of the airplane after you already waited 40 min at the gate for the bus to come"
239,Poor,Always thought it was a good way to travel. I’m only 13 stone and can’t fit in the new type aircraft seats. They are only fit for children. Shame they let that happen
240,Poor,First time ever in over 40 years of flying I've been told I couldn't put my jacket in the overhead locker - they are reserved for (prepaid) luggage. Crew very unfriendly and not very pleasant at all. Won't be flying with them again.
241,Poor,That Pilot buttered the bread on that landing. Some girl legit (I’m not kidding) screamed. The flight attendants were mean. Boarding was absolute Chaos. The legroom was ok. I’ve never really had a worse experience other than on my air Koryo flight.
242,Poor,"A week old plane and the seat trays were dirty and there were drink stains on the carpet. The plane was the 737 Max that Ryanair are not calling them that name by and have to be the most uncomfortable seats I have ever travelled in. I am only 5.10""and my knees were tight to the seat in front and had to make sure I kept my elbows tucked in as I was in the aisle seat."
243,Poor,"After lots of bullc.... about missing paper work, turns out they lied, it was technically error. We needed to go back to terminal and wait. Ok, it happens. Then we got told there would be compensation voucher for eat and drink since flight delayed more than 3 hours. Noone Came for 2 hours, we had to search for ryanair employee. Then.... Voucher for 35 nok. 35!! Is this a joke? The voucher not Even covered 0,5l water bottle..."
244,Poor,"We're waiting for 2 months for a refund for a delayed flight, and nobody replies to our messages on several channels.
The cabin crew was impatient and rude"
245,Poor,Paid for cabin bag but people who had not paid for cabin bag bringing rucksacks and and cabin bags onboard
246,Poor,I was bitten on the backs of my legs during the flight by what must have been fleas in the seat or the carpet. With the fast turnround times I suppose there is no time for a proper vacuum or spray.
247,Poor,"Departure almost on time, only 30min late or so. Boarding went smoothly. Unfortunately it did not look that the plane was cleaned before the flight."
248,Poor,I was glad that I paid more for extra legroom as my husband is tall. Sad that their idea of extra legroom is none at all.
249,Poor,"We had a beautiful, very relaxing flight with Ryanair and were so glad we arrived safely in Lanzarote. But we were really annoyed that paid for a bus transfer to our accommodation when it Came up as an option while we were booking our flights from Dublin to Lanzarote. Nobody showed up for us and we had to pay for a taxi. Why ask us to pay for transfer from the airport and not show up for us.??"
250,Poor,"People Clapping? Medal? Melts... The seats were not that comfortable, upon arrival i had to pay an extra £30.00 for my bag, wish this was stated on my flight in the first place."
251,Terrible,"The check in process was not working on the app, the website, the phone or the computer. I chat with Ryanair the day before the flight they said it would be solved . They had no solution at the airport, they charged me and insulted me, they just ignored the problem and obliged me to pay or they would cancel the flight. Last time with these people now I will flight with other airlines"
252,Terrible,Stuck on flight as it was grounded and they refused to let us off for fresh air for 3 hours with no food and water
253,Terrible,Unless your under 36 inch wait don't expect to fasten your seat belt. Paid for extra leg room both ways on the way out I was given seat belt extension but on the way back it was not legal so we had to switch seats.
254,Terrible,The worst f****** flyight in my whole life....we have to buy watter 5e ! It was terrible never again with rynair!!!!!!!
255,Terrible,"Expensive tickets, poor customer support.
No interest in clients opinions. There were families with kids sleeping on the airport floor and no communication from Ryanair"
256,Terrible,More than an hour late going and coming. Very little and often misleading information provided. Untidy cabin on top of everything.
257,Terrible,"Seat where I should seat 23F - floor, seat in front of me and wall was covered with vomit. No one from crew didn't take care of this situation."
258,Terrible,"The lady who checked out passport and flight told us that we couldn’t bring our hot drink on the plane. She was very rude. The drink was basically full and when I went into the plane, the attendants said we could bring our drink. Very disappointed."
259,Terrible,Very unpleasant Spanish check-in staff at the airport. The woman harassed people unreasonably and was rude . I was my first and last time in Lanzarote
260,Terrible,"WORST AIRLINE ON THE PLANET. EXPENSIVE, CRAP. AVOID THIS AIRLINE AT ALL COST. DELIBERATELY SEPARATE FAMILY MEMBERS SO YOU HAVE TO BUY SEATS"
261,Terrible,"They cancelled my flight and didn't refund me. NEVER AGAIN. They offer the worst costumer support. Never helped me with anything, almost lost my mind trying to deal with them."
262,Terrible,"It fits the metal cage with plenty space around yet they wanted to charge me today on flight to glasgow from Lanzarote!!! Lack of ethics, not humane, Ryanair is worst flight company eveeer!!!!!!"
263,Terrible,Delayed coming and going Ryanair farming out flight to another foreign budget airline - shocking service and first and last time with an incompetent airline- my advice avoid at all costs
264,Terrible,"Ryanair is the worst Airline on the planet. They lie, cheat, and are generally the lowest form of human life from the top down."
265,Terrible,"It was my first time I had traveled with Ryanair .. it will be last time,, I will never travel with them again… it is horrible .."
266,Terrible,"If the airplane ticked costed 1 dollar, it wouldn't be worth the degradation and the horrible experience we had. This company stand's for everything I'm against for. Never again!"
267,Terrible,"Horrendous!! Never use this airline if you can avoid it. Staff incredibly unpleasant, the whole experience is a con to try and ensure the company gets more money. Worst company on planet earth!"
268,Terrible,"Will never fly this piece of garbage airline again. Delays, delays, delays, every single one of their flights was delayed."
269,Terrible,Used my card details to book someone else's flight and application swapped my details with passenger details. Now Ryanair wants me to pay £115 for name change. Passenger details were 100% correct in the first place. Thats a scam. Avoid them!
270,Terrible,The airline won’t let you check in online and require you to cue to collect your boarding pass. Unless of course you want to pay an additional amount to check in online.
271,Terrible,"Worst experience , no proper guidance or help on airport, just charging money for checking in for baggage on airport,"
272,Terrible,Now force you to queue at airport to print ticket unless you pay extra to buy a seat. No mobile boarding passes without. A new low!
273,Terrible,Now force you to queue at airport to print ticket unless you pay extra to buy a seat. No mobile boarding passes without. A new low!
274,Terrible,"Ryanair is unacceptable! I made a booking for an international flight and they don't issue an invoice or a receipt for the company i am working, although their booking system let me choose if i want an invoice for an international flight. The customer service is rude and they simply don't care. Never book a flight with Ryanair again!!!!"
275,Terrible,"Flight delayed, no apologies and ended up flying to a different airline (stanstead). A new low Avoid, not worth it."
276,Terrible,"The worst company I have tried before. You can sell a ticket for Dusseldorf but actually That stop in Weeze, an airport 70 km from Dusseldorf city. They should be more clear about the final destination"
277,Terrible,After horrible experience I won't take them even for free. They are denying each other. Cost me extra 233 Euros
278,Terrible,hidden fees. fees are not clearly stated so they can charge passengers. They mislead us by this. bad customer service.
279,Terrible,Airport Check-in fee of 55 € was hidden! Not explicitly mentioned like other fees while booking!! You are misleading people. We are sooooo disappointed!!
280,Terrible,Worst experience ever. You have to pay to sit together on the plan. Then the stewards were trying to charge me for a small bag on the plane. Even though it was the size advertised as free. Terrible experience from stary to finish and i will never use them again. AVOID IF POSSIBLE
281,Terrible,"So many hidden fees, just not worth it. €55 just to check in to the flight, what a joke. All other airlines are free. Will not be travelling with Ryanair again"
282,Terrible,Worst air company in the world. Never buy tickets by them. Flight has been cancelled and they don't want to refund money back.
283,Terrible,Worst staff at Bergamo airport they purposefully make to wait for checkin until it closes in the system incase of issues with checkin and force you pay the airport fee.
284,Terrible,"Very unethical, shady hidden fees at every corner. I’m surprised they didn’t have a secret “breathing air” fee. And they don’t tell you ahead of time. They don’t let you check in very far ahead of time. And they also don’t take cash. They nearly got me stranded overseas. Customer service was HORRIBLE! Worst airline ever; I’ll never use this airline again."
285,Terrible,"This blonde women working for ryan air made me pay $80 to check in because the app didn’t work. Most rude worker ever, I hope she had Been fired. Would never fly ryan air again, biggest joke."
286,Terrible,"Disgusting cleanliness (one of the many pictures attached) in the aircraft. Very unprofessional. After having accepted everyone with big luggages, pillows and three bags each, my luggage wasn't accepted for the size of the wheels. When I complained about it, the steward at the desk started to shout using swearing words. Embarrassing. The most disgusting company ever."
287,Terrible,"They're thieves. They took €66 from us because we couldn't pay online due to their website not working. And we didn't know that we had to pay to register in person. This has happened to several people. Give us our money back, you scammers!"
288,Terrible,"The airline is a complete farce, systems that don’t work and then want to charge you for their incompetence. They don’t even look after their own flights and swissport are just as incompetent if not worse."
289,Terrible,"Horrible and unfriendly. They cancelled my flight two days in advance and didn't care at all about how I would reach my final destination. They only thing they said was that there were no suitable Ryanair flights in the next four days. I could get my 39 Euros flight refunded, which doesn't help much, of course... Never again with Ryanair!"
290,Terrible,Absolute horrible experience. Their app was down so wouldn’t let you check in and regardless of this they charged you extortionate amounts to check in. Already purchased cabin baggage but they still charged me again! The staff were hopeless as they don’t know what’s going on themselves and some were so rude but tbf not their fault they work for a sh*tty airline. Terrible experience never again.
291,Terrible,"We had to wait in Rinas tirana Airport for 1 hours in side the plane and no Air conditioning at all
I asked for glass of water for my medication and I was refused"
292,Terrible,Ryan air is a horrible airline. Never again. They “cheap rates” is a big lie and you still won’t get value for your money.
293,Terrible,Left stranded in a foreign Country after they cancelled our flight. They are now refusing to refund the flights. Do not trust.
294,Terrible,VERY OLD AIRPLANE WITH NARROW AND OLD AND DIRTY SEATS THE SEATS WERE FOR HALF THE SURFACE OF A NORMAL POSTURE
295,Terrible,"I had to pay for my bag, which I have already paid for. When I purchased the ticket I bought 1 small bag and 1 hand luggage. From Malta to Sofia no issues but back to Malta they told me I have to pay once again. Please note I purchased two way ticket with both luggage."
296,Terrible,"Another late departure, why do you recommend me to come here 2h before flught if on time of departure I'm still in a queue in airpot? I could spend 2h more productive than waiting you to sort out a flight... Useless, your cheap prices not exuses you for this level of service..."
297,Terrible,"This airline is cheap, but they will find ways to charge fees every step of the way during your travel when you cannot refuse to pay. They are rude and sneaky and will take complete advantage of you. I would avoid using Ryanair and gladly pay a higher price fare with a more professional airline. At least that way I know exactly how much the trip will really cost."
298,Terrible,"Don't have priority by right for pregnants is a very bad service, and your employees should be more polite cause other company's have priority without pay for it is a woman's right poor service"
299,Terrible,Paid for a 10kg cabin bag online arrived at gate charged me 46 euro saying I should have checked in at gate rip off or what pointed out a tiny print on bottom of ticket reporting to consumer complaints it was a carry on bag now they say priority only are allowed overhead carry on
300,Terrible,Appalling...this company should go bankrupt. This flight was missed due to it being a connection and we were ushered out from transfer to go back through security. Next flights were overbooked and couldn't get on so returned back to where the 1st flight came from.
